# output relocated catalog from HYPODD (details can be found in Yao et al.[2019])
# EVID   YYYY MM DD HH MM  SECND  LONGITUDE   LATITUDE  DEPTH  ML  Pobs Sobs DX(m) DY(m) DZ(m)
								    P   S (phases)	
80403510 2010 04 03 19 08 12.840 -115.291349 32.283608 10.894  1.8   6  22   8.5   8.9   9.3
80403514 2010 04 03 19 35 25.420 -115.301318 32.247809 11.735  1.1  14  12   7.2  10.0   8.3
14607164 2010 04 03 19 38 51.560 -115.289006 32.274935 16.829  2.7  40  17  17.5  14.4  16.8
80403519 2010 04 03 19 40 52.200 -115.303564 32.272974  9.253  1.3  12  13   6.6   5.9   9.9
80403520 2010 04 03 19 41 01.600 -115.303662 32.272949  9.215  1.3   1   3   8.3   9.3  12.1
80403521 2010 04 03 19 41 34.080 -115.300895 32.248474 11.811  1.4  12  17   8.5  10.6   8.9
80403523 2010 04 03 20 09 27.680 -115.301213 32.247825 11.534  1.1   9   8  11.3  13.3  10.5
14607180 2010 04 03 20 18 03.720 -115.307568 32.267157  9.947  1.5  31  38   7.1   9.8  13.5
80403527 2010 04 03 20 42 13.180 -115.290080 32.280890 15.680  1.3   7  10  12.3  15.8  14.9
14607188 2010 04 03 20 49 05.080 -115.290576 32.282015 16.573  3.3   3   3  27.2  23.1  36.9
80403530 2010 04 03 20 51 00.560 -115.291032 32.273576  2.213  1.5  17  13  11.1  13.3  12.5
80403531 2010 04 03 20 51 18.240 -115.300798 32.247573 11.825  1.9  14  18  11.8  13.3   9.4
80403536 2010 04 03 21 24 11.400 -115.307666 32.266066 10.075  0.9   3   1  12.0  17.4  16.7
80403537 2010 04 03 21 29 21.320 -115.289811 32.280469 15.594  1.8 107 147   6.7   8.7   9.0
80403543 2010 04 03 21 52 44.780 -115.288778 32.281081 15.806  1.4  11  13  13.2  17.0  16.3
80403545 2010 04 03 22 04 45.520 -115.290080 32.269861  1.858  1.1  29  54  10.7  10.0  11.8
80403547 2010 04 03 22 11 48.480 -115.295304 32.279458  1.529  1.0   5  10  23.6  27.0  24.6
80403549 2010 04 03 22 14 48.120 -115.294906 32.279793  1.667  1.1  10   7  18.2  23.0  20.8
14607204 2010 04 03 22 16 47.640 -115.296273 32.273981 11.565  2.1  23  26  13.5  11.9  14.5
